"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
101,1,0.666667,31.5,1208.78,429.43,1903.99,10
102,1.01,0.673333,32,1227.82,441.613,1903.99,10
103,1.02,0.68,32.5,1246.86,453.987,1903.99,10
104,1.03,0.686667,33,1265.9,466.55,1903.99,10
105,1.04,0.693333,33.5,1284.94,479.305,1903.99,10
106,1.05,0.7,34,1303.98,492.249,1903.99,10
107,1.06,0.706667,34.5,1323.02,505.384,1903.99,10
108,1.07,0.713333,35,1342.06,518.709,1903.99,10
109,1.08,0.72,35.5,1361.1,532.225,1903.99,10
110,1.09,0.726667,36,1380.14,545.931,1903.99,10
111,1.1,0.733333,36.5,1399.18,559.828,1903.99,10
112,1.11,0.74,37,1418.22,573.915,1903.99,10
113,1.12,0.746667,37.5,1437.26,588.192,1903.99,10
114,1.13,0.753333,38,1456.3,602.66,1903.99,10
115,1.14,0.76,38.5,1475.34,617.318,1903.99,10
116,1.15,0.766667,39,1494.38,632.167,1903.99,10
117,1.16,0.773333,39.5,1513.42,647.206,1903.99,10
118,1.17,0.78,40,1532.46,662.435,1903.99,10
119,1.18,0.786667,40.5,1551.5,677.855,1903.99,10
120,1.19,0.793333,41,1570.54,693.465,1903.99,10
121,1.2,0.8,41.5,1589.58,709.266,1903.99,10
122,1.21,0.806667,42,1608.62,725.257,1903.99,10
123,1.22,0.813333,42.5,1627.66,741.438,1903.99,10
124,1.23,0.82,43,1646.7,757.81,1903.99,10
125,1.24,0.826667,43.5,1665.74,774.372,1903.99,10
126,1.25,0.833333,44,1684.78,791.125,1903.99,10
127,1.26,0.84,44.5,1703.82,808.068,1903.99,10
128,1.27,0.846667,45,1722.86,825.201,1903.99,10
129,1.28,0.853333,45.5,1741.9,842.525,1903.99,10
130,1.29,0.86,46,1760.94,860.039,1903.99,10
131,1.3,0.866667,46.5,1779.98,877.744,1903.99,10
132,1.31,0.873333,47,1799.02,895.638,1903.99,10
133,1.32,0.88,47.5,1818.06,913.724,1903.99,10
134,1.33,0.886667,48,1837.1,932,1903.99,10
135,1.34,0.893333,48.5,1856.14,950.466,1903.99,10
136,1.35,0.9,49,1875.18,969.122,1903.99,10
