"Motion Profile Trajectory generated by MCSF"
maxV(rps),4
maxA(rps/s),10
dist(r),5
ItP(ms),10
T1(ms),400
T2(ms),200
T4(ms),1250
FL1,40
FL2,20
N,125
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
107,1.06,1,20,4,3.0781,0,10
108,1.07,1,20,4,3.1181,0,10
109,1.08,1,20,4,3.1581,0,10
110,1.09,1,20,4,3.1981,0,10
111,1.1,1,20,4,3.2381,0,10
112,1.11,1,20,4,3.2781,0,10
113,1.12,1,20,4,3.3181,0,10
114,1.13,1,20,4,3.3581,0,10
115,1.14,1,20,4,3.3981,0,10
116,1.15,1,20,4,3.4381,0,10
117,1.16,1,20,4,3.4781,0,10
118,1.17,1,20,4,3.5181,0,10
119,1.18,1,20,4,3.5581,0,10
120,1.19,1,20,4,3.5981,0,10
121,1.2,1,20,4,3.6381,0,10
122,1.21,1,20,4,3.6781,0,10
123,1.22,1,20,4,3.7181,0,10
124,1.23,1,20,4,3.7581,0,10
125,1.24,1,20,4,3.7981,0,10
126,1.25,1,20,4,3.8381,0,10
127,1.26,0.975,19.975,3.99048,3.87805,-0.952381,10
128,1.27,0.95,19.925,3.97619,3.91788,-1.42857,10
129,1.28,0.925,19.85,3.95714,3.95755,-1.90476,10
130,1.29,0.9,19.75,3.93333,3.997,-2.38095,10
131,1.3,0.875,19.625,3.90476,4.03619,-2.85714,10
132,1.31,0.85,19.475,3.87143,4.07507,-3.33333,10
133,1.32,0.825,19.3,3.83333,4.1136,-3.80952,10
134,1.33,0.8,19.1,3.79048,4.15171,-4.28571,10
135,1.34,0.775,18.875,3.74286,4.18938,-4.7619,10
136,1.35,0.75,18.625,3.69048,4.22655,-5.2381,10
137,1.36,0.725,18.35,3.63333,4.26317,-5.71429,10
138,1.37,0.7,18.05,3.57143,4.29919,-6.19048,10
139,1.38,0.675,17.725,3.50476,4.33457,-6.66667,10
140,1.39,0.65,17.375,3.43333,4.36926,-7.14286,10
141,1.4,0.625,17,3.35714,4.40321,-7.61905,10
142,1.41,0.6,16.6,3.27619,4.43638,-8.09524,10
143,1.42,0.575,16.175,3.19048,4.46871,-8.57143,10
144,1.43,0.55,15.725,3.1,4.50017,-9.04762,10
145,1.44,0.525,15.25,3.00476,4.53069,-9.52381,10
146,1.45,0.5,14.75,2.90476,4.56024,-10,10
147,1.46,0.475,14.25,2.80476,4.58879,-10,10
148,1.47,0.45,13.75,2.70476,4.61633,-10,10
149,1.48,0.425,13.25,2.60476,4.64288,-10,10
150,1.49,0.4,12.75,2.50476,4.66843,-10,10
151,1.5,0.375,12.25,2.40476,4.69298,-10,10
152,1.51,0.35,11.75,2.30476,4.71652,-10,10
153,1.52,0.325,11.25,2.20476,4.73907,-10,10
154,1.53,0.3,10.75,2.10476,4.76062,-10,10
155,1.54,0.275,10.25,2.00476,4.78117,-10,10
156,1.55,0.25,9.75,1.90476,4.80071,-10,10
157,1.56,0.225,9.25,1.80476,4.81926,-10,10
158,1.57,0.2,8.75,1.70476,4.83681,-10,10
159,1.58,0.175,8.25,1.60476,4.85336,-10,10
160,1.59,0.15,7.75,1.50476,4.8689,-10,10
161,1.6,0.125,7.25,1.40476,4.88345,-10,10
162,1.61,0.1,6.75,1.30476,4.897,-10,10
163,1.62,0.075,6.25,1.20476,4.90955,-10,10
